"Reporting starts","Reporting ends","Campaign name","Campaign delivery","Ad set budget","Ad set budget type","Amount spent (INR)",Impressions,Ends,"Attribution setting","Results ROAS","Result ROAS indicator",Results,"Result indicator","CPC (all) (INR)","CPM (cost per 1,000 impressions) (INR)",Reach,"Clicks (all)"
2025-10-01,2026-05-12,"Sales Campaign",inactive,"Using ad set budget",0,144.1,3408,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",15.40596808,action_values:offsite_conversion.fb_pixel_add_to_cart,10,actions:offsite_conversion.fb_pixel_add_to_cart,2.088406,42.282864,3194,69
2025-10-01,2026-05-12,"First sales campaign",inactive,"Using ad set budget",0,435.22,16272,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",23.97408207,action_values:offsite_conversion.fb_pixel_add_to_cart,47,actions:offsite_conversion.fb_pixel_add_to_cart,1.485392,26.746559,14030,293
2025-10-01,2026-05-12,"Semi permanent tattoo by zkraze",inactive,"Using ad set budget",0,1259.49,40122,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",,,,,1.046958,31.391506,30655,1203
2025-10-01,2026-05-12,"December Sales Campaign",completed,"Using ad set budget",0,1482.32,37700,2025-12-17,"7-day click, 1-day view, or 1-day engaged-view",,,,,1.055032,39.318833,29630,1405
2025-10-01,2026-05-12,"December Campaign",inactive,"Using ad set budget",0,3193.6,94764,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",,,,,0.873762,33.700561,55153,3655
2025-10-01,2026-05-12,"Jan sales",inactive,"Using ad set budget",0,2315.3,76384,Ongoing,"7-day click, 1-day view, or 1-day engaged-view",1.42011834,action_values:offsite_conversion.fb_pixel_purchase,7,actions:offsite_conversion.fb_pixel_purchase,1.014148,30.311322,45121,2283
2025-10-01,2026-05-12,"Sale 69",completed,"Using ad set budget",0,3344.85,87547,2026-01-30,"7-day click, 1-day view, or 1-day engaged-view",3.14363873,action_values:offsite_conversion.fb_pixel_purchase,40,actions:offsite_conversion.fb_pixel_purchase,1.189491,38.206335,46116,2812
2025-10-01,2026-05-12,"Feb sales",not_delivering,"Using ad set budget",0,23921.71,450090,2026-04-28,"7-day click, 1-day view, or 1-day engaged-view",2.10190409,action_values:offsite_conversion.fb_pixel_purchase,191,actions:offsite_conversion.fb_pixel_purchase,1.228518,53.148726,181010,19472
2025-10-01,2026-05-12,UGC,active,"Using ad set budget",0,1335.9,30546,2026-05-12,"7-day click, 1-day view, or 1-day engaged-view",0.71562243,action_values:offsite_conversion.fb_pixel_purchase,3,actions:offsite_conversion.fb_pixel_purchase,1.653342,43.73404,22249,808
2025-10-01,2026-05-12,"New Arrivals",active,"Using ad set budget",0,1857.36,42071,2026-05-31,"7-day click, 1-day view, or 1-day engaged-view",1.02511091,action_values:offsite_conversion.fb_pixel_purchase,5,actions:offsite_conversion.fb_pixel_purchase,1.846282,44.148226,29199,1006
